"filename", "language", "Docker", "Markdown", "YAML", "pip requirements", "Python", "Ini", "comment", "blank", "total"
"d:\ITWork\profbot\Dockerfile", "Docker", 6, 0, 0, 0, 0, 0, 0, 5, 11
"d:\ITWork\profbot\PLAN.md", "Markdown", 0, 78, 0, 0, 0, 0, 0, 27, 105
"d:\ITWork\profbot\REVIEW.md", "Markdown", 0, 35, 0, 0, 0, 0, 0, 12, 47
"d:\ITWork\profbot\alembic.ini", "Ini", 0, 0, 0, 0, 0, 123, 0, 27, 150
"d:\ITWork\profbot\alembic\env.py", "Python", 0, 0, 0, 0, 36, 0, 29, 17, 82
"d:\ITWork\profbot\bot\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ITWork\profbot\bot\core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ITWork\profbot\bot\core\config.py", "Python", 0, 0, 0, 0, 12, 0, 2, 8, 22
"d:\ITWork\profbot\bot\core\db.py", "Python", 0, 0, 0, 0, 13, 0, 2, 10, 25
"d:\ITWork\profbot\bot\core\redis.py", "Python", 0, 0, 0, 0, 8, 0, 2, 5, 15
"d:\ITWork\profbot\bot\dependencies.py", "Python", 0, 0, 0, 0, 5, 0, 2, 4, 11
"d:\ITWork\profbot\bot\fsm\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ITWork\profbot\bot\fsm\fsm.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\ITWork\profbot\bot\keyboards\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ITWork\profbot\bot\keyboards\keyboards.py", "Python", 0, 0, 0, 0, 24, 0, 3, 6, 33
"d:\ITWork\profbot\bot\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ITWork\profbot\bot\models\user.py", "Python", 0, 0, 0, 0, 19, 0, 3, 7, 29
"d:\ITWork\profbot\bot\repositories\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ITWork\profbot\bot\repositories\user_repository.py", "Python", 0, 0, 0, 0, 113, 0, 16, 33, 162
"d:\ITWork\profbot\bot\routers\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ITWork\profbot\bot\routers\profile.py", "Python", 0, 0, 0, 0, 57, 0, 2, 17, 76
"d:\ITWork\profbot\bot\routers\start.py", "Python", 0, 0, 0, 0, 67, 0, 3, 18, 88
"d:\ITWork\profbot\bot\services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ITWork\profbot\bot\services\user_service.py", "Python", 0, 0, 0, 0, 34, 0, 8, 18, 60
"d:\ITWork\profbot\docker-compose.yml", "YAML", 0, 0, 23, 0, 0, 0, 0, 2, 25
"d:\ITWork\profbot\main.py", "Python", 0, 0, 0, 0, 31, 0, 8, 12, 51
"d:\ITWork\profbot\requirements.txt", "pip requirements", 0, 0, 0, 7, 0, 0, 3, 3, 13
"Total", "-", 6, 113, 23, 7, 419, 123, 84, 240, 1015
