"filename", "language", "Markdown", "Python", "comment", "blank", "total"
"d:\ITWork\profbot\REVIEW.md", "Markdown", 25, 0, 0, 15, 40
"d:\ITWork\profbot\bot\core\config.py", "Python", 0, 1, 0, 2, 3
"d:\ITWork\profbot\bot\core\db.py", "Python", 0, -3, 1, 0, -2
"d:\ITWork\profbot\bot\dependencies.py", "Python", 0, 7, 2, 5, 14
"d:\ITWork\profbot\bot\models\product.py", "Python", 0, 17, 3, 12, 32
"d:\ITWork\profbot\bot\models\statistics.py", "Python", 0, 12, 2, 8, 22
"d:\ITWork\profbot\bot\models\transaction.py", "Python", 0, 11, 2, 8, 21
"d:\ITWork\profbot\bot\repositories\product_repository.py", "Python", 0, 41, 7, 20, 68
"d:\ITWork\profbot\bot\repositories\statistics_repository.py", "Python", 0, 45, 7, 20, 72
"d:\ITWork\profbot\bot\repositories\transaction_repository.py", "Python", 0, 25, 6, 15, 46
"d:\ITWork\profbot\bot\repositories\user_repository.py", "Python", 0, 31, -5, -1, 25
"d:\ITWork\profbot\bot\routers\profile.py", "Python", 0, -6, 0, -3, -9
"d:\ITWork\profbot\bot\routers\shop.py", "Python", 0, 62, 6, 25, 93
"d:\ITWork\profbot\bot\routers\start.py", "Python", 0, -4, -1, -3, -8
"d:\ITWork\profbot\bot\schemas.py", "Python", 0, 19, 4, 11, 34
"d:\ITWork\profbot\bot\services\shop_service.py", "Python", 0, 25, 4, 15, 44
"d:\ITWork\profbot\bot\services\user_service.py", "Python", 0, 0, 0, -6, -6
"d:\ITWork\profbot\main.py", "Python", 0, 3, 0, 1, 4
"Total", "-", 25, 286, 38, 144, 493
