"filename", "language", "Markdown", "pip requirements", "Python", "Docker", "YAML", "Ini", "comment", "blank", "total"
"d:\ITWork\profbot\Dockerfile", "Docker", 0, 0, 0, 6, 0, 0, 0, 5, 11
"d:\ITWork\profbot\PLAN.md", "Markdown", 78, 0, 0, 0, 0, 0, 0, 27, 105
"d:\ITWork\profbot\REVIEW.md", "Markdown", 60, 0, 0, 0, 0, 0, 0, 27, 87
"d:\ITWork\profbot\alembic.ini", "Ini", 0, 0, 0, 0, 0, 123, 0, 27, 150
"d:\ITWork\profbot\alembic\env.py", "Python", 0, 0, 36, 0, 0, 0, 29, 17, 82
"d:\ITWork\profbot\bot\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ITWork\profbot\bot\core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ITWork\profbot\bot\core\config.py", "Python", 0, 0, 13, 0, 0, 0, 2, 10, 25
"d:\ITWork\profbot\bot\core\db.py", "Python", 0, 0, 10, 0, 0, 0, 3, 10, 23
"d:\ITWork\profbot\bot\core\redis.py", "Python", 0, 0, 8, 0, 0, 0, 2, 5, 15
"d:\ITWork\profbot\bot\dependencies.py", "Python", 0, 0, 12, 0, 0, 0, 4, 9, 25
"d:\ITWork\profbot\bot\fsm\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ITWork\profbot\bot\fsm\fsm.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\ITWork\profbot\bot\keyboards\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ITWork\profbot\bot\keyboards\keyboards.py", "Python", 0, 0, 24, 0, 0, 0, 3, 6, 33
"d:\ITWork\profbot\bot\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ITWork\profbot\bot\models\product.py", "Python", 0, 0, 17, 0, 0, 0, 3, 12, 32
"d:\ITWork\profbot\bot\models\statistics.py", "Python", 0, 0, 12, 0, 0, 0, 2, 8, 22
"d:\ITWork\profbot\bot\models\transaction.py", "Python", 0, 0, 11, 0, 0, 0, 2, 8, 21
"d:\ITWork\profbot\bot\models\user.py", "Python", 0, 0, 19, 0, 0, 0, 3, 7, 29
"d:\ITWork\profbot\bot\repositories\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ITWork\profbot\bot\repositories\product_repository.py", "Python", 0, 0, 41, 0, 0, 0, 7, 20, 68
"d:\ITWork\profbot\bot\repositories\statistics_repository.py", "Python", 0, 0, 45, 0, 0, 0, 7, 20, 72
"d:\ITWork\profbot\bot\repositories\transaction_repository.py", "Python", 0, 0, 25, 0, 0, 0, 6, 15, 46
"d:\ITWork\profbot\bot\repositories\user_repository.py", "Python", 0, 0, 144, 0, 0, 0, 11, 32, 187
"d:\ITWork\profbot\bot\routers\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ITWork\profbot\bot\routers\profile.py", "Python", 0, 0, 51, 0, 0, 0, 2, 14, 67
"d:\ITWork\profbot\bot\routers\shop.py", "Python", 0, 0, 62, 0, 0, 0, 6, 25, 93
"d:\ITWork\profbot\bot\routers\start.py", "Python", 0, 0, 63, 0, 0, 0, 2, 15, 80
"d:\ITWork\profbot\bot\schemas.py", "Python", 0, 0, 19, 0, 0, 0, 4, 11, 34
"d:\ITWork\profbot\bot\services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ITWork\profbot\bot\services\shop_service.py", "Python", 0, 0, 25, 0, 0, 0, 4, 15, 44
"d:\ITWork\profbot\bot\services\user_service.py", "Python", 0, 0, 34, 0, 0, 0, 8, 12, 54
"d:\ITWork\profbot\docker-compose.yml", "YAML", 0, 0, 0, 0, 23, 0, 0, 2, 25
"d:\ITWork\profbot\main.py", "Python", 0, 0, 34, 0, 0, 0, 8, 13, 55
"d:\ITWork\profbot\requirements.txt", "pip requirements", 0, 7, 0, 0, 0, 0, 3, 3, 13
"Total", "-", 138, 7, 705, 6, 23, 123, 122, 384, 1508
